Date,Open,High,Low,Close,Adj Close,Volume,perc_return
12/21/2020,70.900002,71.949997,70.720001,71.860001,70.425194,18942500,0.11%
12/28/2020,72.059998,72.620003,71.730003,71.919998,70.484001,14692100,0.08%
1/4/2021,72.190002,74.769997,71.650002,74.110001,72.630272,65525000,3.05%
1/11/2021,73.790001,75.779999,73.790001,75.419998,74.707809,45946800,1.77%
1/18/2021,75.419998,76.050003,73.5,73.580002,72.885185,26271500,-2.44%
1/25/2021,73.07,74.239998,72.260002,72.459999,71.775757,26294200,-1.52%
2/1/2021,72.68,74.959999,72.389999,74.599998,73.895554,18985900,2.95%
2/8/2021,74.75,75.75,74.550003,75.419998,74.707809,15659400,1.10%
2/15/2021,75.639999,76.68,74.989998,76.379997,75.658745,16054100,1.27%
2/22/2021,76.25,79.940002,76.25,77.139999,76.411568,38443400,1.00%
3/1/2021,77.849998,79.540001,77.639999,79.510002,78.759193,25746100,3.07%
3/8/2021,79.610001,81.910004,79.57,81.650002,80.878983,30861600,2.69%
3/15/2021,81.699997,83.650002,81.360001,82.419998,81.641708,46607100,0.94%
3/22/2021,82.010002,82.910004,81.559998,82.879997,82.097366,31376600,0.56%
3/29/2021,82.379997,82.93,81.82,82.459999,81.681328,29209500,-0.51%
4/5/2021,82.82,83.82,82.050003,82.879997,82.097366,61175100,0.51%
4/12/2021,82.900002,83.720001,82.32,82.879997,82.879997,42644000,0.00%
4/19/2021,82.879997,84.260002,81.699997,84.209999,84.209999,18107200,1.60%
4/26/2021,84.160004,85.510002,84.040001,84.5,84.5,18444800,0.34%
5/3/2021,84.849998,86.260002,83.400002,86.099998,86.099998,20033600,1.89%
5/10/2021,86.190002,87.949997,85.019997,87.730003,87.730003,24142000,1.89%
5/17/2021,87.790001,88.839996,87.160004,88.110001,88.110001,16886400,0.43%
5/24/2021,88.800003,89.120003,86.589996,87.07,87.07,22421800,-1.18%
5/31/2021,87.309998,88.32,86.239998,87.959999,87.959999,14142900,1.02%
